calendar_year;project_has_data;pedro_table4_has_data;coverage_status;geographic_scope;recommended_series;ordering_concept;reported_incomes;tax_return_year;number_of_brackets;currency;aggregate_unit;bracket_limit_unit;primary_source;source_block;primary_source_url;primary_link_type;pdf_download_url;alternative_url;local_file;pdf_page;printed_page;table_or_panel;primary_sqlite_table;related_sqlite_tables;pedro_table4_source;pedro_table4_status;methodological_note;next_action
2008;1;1;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2009;11;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Grandes Numeros DIRPF 2009 - ano-calendario 2008. Brasilia: Receita Federal, 2015.;gnirpf_2009_ac2008_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2009-2008.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2009-2008.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2009-2008.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2009_ano_calendario_2008.pdf;"22; 23";"14; 15";Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2009_ac2008_rendimentos_totais_totais;"irpf_gnirpf_2009_ac2008_rendimentos_totais_faixas; irpf_gnirpf_2009_ac2008_rendimentos_totais_totais";GNIRPF anos-calendario 2007-2013;"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2008 como GNIRPF ano-calendario 2008 (BRASIL. MF. SRF, 2015), com abrangencia Brasil, ordenamento por RLIQ, RBT, RNT e RTOT e rendas reportadas RLIQ, RBT, RNT e RTOT. A tabela extraida aqui usa a Tabela 9 do GNIRPF 2009, Resumo das Declaracoes Por Faixa de Rendimentos Totais, com valores em R$ milhoes. A fonte traz Rendim. Tribut., Rendim. Tribut. Exclus. e Rendim. Isentos; o RTOT foi derivado como a soma desses tres componentes. A coluna Base de Calculo (RTL) foi preservada como proxy observada de rendimento/base tributavel liquida, mantendo o rotulo original da fonte. As diferencas monetarias residuais decorrem do armazenamento em ponto flutuante nas celulas Excel; os valores foram arredondados a 6 casas em R$ milhoes nos CSVs.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2009;1;1;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2010;11;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Grandes Numeros DIRPF 2010 - ano-calendario 2009. Brasilia: Receita Federal, 2015.;gnirpf_2010_ac2009_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2010-2009.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2010-2009.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2010-2009.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2010_ano_calendario_2009.pdf;"22; 23";"14; 15";Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2010_ac2009_rendimentos_totais_totais;"irpf_gnirpf_2010_ac2009_rendimentos_totais_faixas; irpf_gnirpf_2010_ac2009_rendimentos_totais_totais";GNIRPF anos-calendario 2007-2013;"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2009 como GNIRPF ano-calendario 2009 (BRASIL. MF. SRF, 2015), com abrangencia Brasil, ordenamento por RLIQ, RBT, RNT e RTOT e rendas reportadas RLIQ, RBT, RNT e RTOT. A tabela extraida aqui usa a Tabela 9 do GNIRPF 2010, Resumo das Declaracoes Por Faixa de Rendimentos Totais, com valores em R$ milhoes. A fonte traz Rendim. Tribut., Rendim. Tribut. Exclus. e Rendim. Isentos; o RTOT foi derivado como a soma desses tres componentes. A coluna Base de Calculo (RTL) foi preservada como proxy observada de rendimento/base tributavel liquida, mantendo o rotulo original da fonte. As diferencas monetarias residuais decorrem do armazenamento em ponto flutuante nas celulas Excel; os valores foram arredondados a 6 casas em R$ milhoes nos CSVs.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2010;1;1;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2011;11;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Grandes Numeros DIRPF 2011 - ano-calendario 2010. Brasilia: Receita Federal, 2015.;gnirpf_2011_ac2010_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2011-2010.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2011-2010.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2011-2010.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2011_ano_calendario_2010.pdf;"22; 23";"14; 15";Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2011_ac2010_rendimentos_totais_totais;"irpf_gnirpf_2011_ac2010_rendimentos_totais_faixas; irpf_gnirpf_2011_ac2010_rendimentos_totais_totais";GNIRPF anos-calendario 2007-2013;"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2010 como GNIRPF ano-calendario 2010 (BRASIL. MF. SRF, 2015), com abrangencia Brasil, ordenamento por RLIQ, RBT, RNT e RTOT e rendas reportadas RLIQ, RBT, RNT e RTOT. A tabela extraida aqui usa a Tabela 9 do GNIRPF 2011, Resumo das Declaracoes Por Faixa de Rendimentos Totais, com valores em R$ milhoes. A fonte traz Rendim. Tribut., Rendim. Tribut. Exclus. e Rendim. Isentos; o RTOT foi derivado como a soma desses tres componentes. A coluna Base de Calculo (RTL) foi preservada como proxy observada de rendimento/base tributavel liquida, mantendo o rotulo original da fonte. As diferencas monetarias residuais decorrem do armazenamento em ponto flutuante nas celulas Excel; os valores foram arredondados a 6 casas em R$ milhoes nos CSVs.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2011;1;1;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2012;11;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Grandes Numeros DIRPF 2012 - ano-calendario 2011. Brasilia: Receita Federal, 2015.;gnirpf_2012_ac2011_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2012-2011.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2012-2011.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2012-2011.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2012_ano_calendario_2011.pdf;"22; 23";"14; 15";Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2012_ac2011_rendimentos_totais_totais;"irpf_gnirpf_2012_ac2011_rendimentos_totais_faixas; irpf_gnirpf_2012_ac2011_rendimentos_totais_totais";GNIRPF anos-calendario 2007-2013;"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2011 como GNIRPF ano-calendario 2011 (BRASIL. MF. SRF, 2015), com abrangencia Brasil, ordenamento por RLIQ, RBT, RNT e RTOT e rendas reportadas RLIQ, RBT, RNT e RTOT. A tabela extraida aqui usa a Tabela 9 do GNIRPF 2012, Resumo das Declaracoes Por Faixa de Rendimentos Totais, com valores em R$ milhoes. A fonte traz Rendim. Tribut., Rendim. Tribut. Exclus. e Rendim. Isentos; o RTOT foi derivado como a soma desses tres componentes. A coluna Base de Calculo (RTL) foi preservada como proxy observada de rendimento/base tributavel liquida, mantendo o rotulo original da fonte. As diferencas monetarias residuais decorrem do armazenamento em ponto flutuante nas celulas Excel; os valores foram arredondados a 6 casas em R$ milhoes nos CSVs.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2012;1;1;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2013;11;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Grandes Numeros DIRPF 2013 - ano-calendario 2012. Brasilia: Receita Federal, 2015.;gnirpf_2013_ac2012_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2013-2012.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2013-2012.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2013-2012.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2013_ano_calendario_2012.pdf;"22; 23";"14; 15";Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2013_ac2012_rendimentos_totais_totais;"irpf_gnirpf_2013_ac2012_rendimentos_totais_faixas; irpf_gnirpf_2013_ac2012_rendimentos_totais_totais";GNIRPF anos-calendario 2007-2013;"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2012 como GNIRPF ano-calendario 2012 (BRASIL. MF. SRF, 2015), com abrangencia Brasil, ordenamento por RLIQ, RBT, RNT e RTOT e rendas reportadas RLIQ, RBT, RNT e RTOT. A tabela extraida aqui usa a Tabela 9 do GNIRPF 2013, Resumo das Declaracoes Por Faixa de Rendimentos Totais, com valores em R$ milhoes. A fonte traz Rendim. Tribut., Rendim. Tribut. Exclus. e Rendim. Isentos; o RTOT foi derivado como a soma desses tres componentes. A coluna Base de Calculo (RTL) foi preservada como proxy observada de rendimento/base tributavel liquida, mantendo o rotulo original da fonte. As diferencas monetarias residuais decorrem do armazenamento em ponto flutuante nas celulas Excel; os valores foram arredondados a 6 casas em R$ milhoes nos CSVs.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2013;1;1;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2014;11;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Grandes Numeros DIRPF 2014 - ano-calendario 2013. Brasilia: Receita Federal, 2015.;gnirpf_2014_ac2013_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2014-2013.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2014-2013.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2014-2013.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2014_ano_calendario_2013.pdf;"22; 23";"14; 15";Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2014_ac2013_rendimentos_totais_totais;"irpf_gnirpf_2014_ac2013_rendimentos_totais_faixas; irpf_gnirpf_2014_ac2013_rendimentos_totais_totais";GNIRPF anos-calendario 2007-2013;"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2013 como GNIRPF ano-calendario 2013 (BRASIL. MF. SRF, 2015), com abrangencia Brasil, ordenamento por RLIQ, RBT, RNT e RTOT e rendas reportadas RLIQ, RBT, RNT e RTOT. A tabela extraida aqui usa a Tabela 9 padrao do GNIRPF 2014, Resumo das Declaracoes Por Faixa de Rendimentos Totais, com valores em R$ milhoes. A fonte traz Rendim. Tribut., Rendim. Tribut. Exclus. e Rendim. Isentos; o RTOT foi derivado como a soma desses tres componentes. A coluna Base de Calculo (RTL) foi preservada como proxy observada de rendimento/base tributavel liquida, mantendo o rotulo original da fonte. Ha tambem publicacao complementar de tabelas 6 a 10 com faixas ampliadas para o ano-calendario 2013; ela foi anotada, mas nao foi usada nesta serie principal de 11 faixas. As diferencas monetarias residuais decorrem do armazenamento em ponto flutuante nas celulas Excel; os valores foram arredondados a 6 casas em R$ milhoes nos CSVs.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2014;1;0;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2015;17;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Centro de Estudos Tributarios e Aduaneiros. Grandes Numeros IRPF - ano-calendario 2014, exercicio 2015. Brasilia: Receita Federal/CETAD, setembro 2016.;gnirpf_2015_ac2014_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2015-2014.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2015-2014.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2015-2014.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2015_ano_calendario_2014.pdf;"27; 28; 29; 30; 31";"23; 24; 25; 26; 27";Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2015_ac2014_rendimentos_totais_totais;"irpf_gnirpf_2015_ac2014_rendimentos_totais_faixas; irpf_gnirpf_2015_ac2014_rendimentos_totais_totais";fora do recorte da Tabela 4;a tese lista fontes ate 2013;flags nos/Pedro diferem | fora do recorte da Tabela 4 da tese de Pedro, que vai ate 2013;manter como extensao pos-tese via GNIRPF
2015;1;0;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2016;17;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Centro de Estudos Tributarios e Aduaneiros. Grandes Numeros IRPF - ano-calendario 2015, exercicio 2016. Brasilia: Receita Federal/CETAD, abril 2017.;gnirpf_2016_ac2015_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2016-2015.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2016-2015.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2016-2015.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2016_ano_calendario_2015.pdf;13;9;Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2016_ac2015_rendimentos_totais_totais;"irpf_gnirpf_2016_ac2015_rendimentos_totais_faixas; irpf_gnirpf_2016_ac2015_rendimentos_totais_totais";fora do recorte da Tabela 4;a tese lista fontes ate 2013;flags nos/Pedro diferem | fora do recorte da Tabela 4 da tese de Pedro, que vai ate 2013;manter como extensao pos-tese via GNIRPF
2016;1;0;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2017;17;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Centro de Estudos Tributarios e Aduaneiros. Grandes Numeros IRPF - ano-calendario 2016, exercicio 2017. Brasilia: Receita Federal/CETAD, dezembro 2017.;gnirpf_2017_ac2016_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2017-2016.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2017-2016.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2017-2016.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2017_ano_calendario_2016.pdf;13;9;Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais em salarios minimos;irpf_gnirpf_2017_ac2016_rendimentos_totais_totais;"irpf_gnirpf_2017_ac2016_rendimentos_totais_faixas; irpf_gnirpf_2017_ac2016_rendimentos_totais_totais";fora do recorte da Tabela 4;a tese lista fontes ate 2013;flags nos/Pedro diferem | fora do recorte da Tabela 4 da tese de Pedro, que vai ate 2013;manter como extensao pos-tese via GNIRPF
2017;1;0;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2018;17;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Economia. Secretaria Especial da Receita Federal do Brasil. Centro de Estudos Tributarios e Aduaneiros. Grandes Numeros IRPF - ano-calendario 2017, exercicio 2018. Brasilia: Receita Federal/CETAD, maio 2019.;gnirpf_2018_ac2017_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2018-2017.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-2018-2017.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-2018-2017.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2018_ano_calendario_2017.pdf;14;9;Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais em salarios minimos;irpf_gnirpf_2018_ac2017_rendimentos_totais_totais;"irpf_gnirpf_2018_ac2017_rendimentos_totais_faixas; irpf_gnirpf_2018_ac2017_rendimentos_totais_totais";fora do recorte da Tabela 4;a tese lista fontes ate 2013;flags nos/Pedro diferem | fora do recorte da Tabela 4 da tese de Pedro, que vai ate 2013;manter como extensao pos-tese via GNIRPF
2018;1;0;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2019;17;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Economia. Secretaria Especial da Receita Federal do Brasil. Centro de Estudos Tributarios e Aduaneiros. Grandes Numeros IRPF - ano-calendario 2018, exercicio 2019. Brasilia: Receita Federal/CETAD, junho 2020.;gnirpf_2019_ac2018_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2019-2018.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2019-2018.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2019-2018.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2019_ano_calendario_2018.pdf;14;9;Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais em salarios minimos;irpf_gnirpf_2019_ac2018_rendimentos_totais_totais;"irpf_gnirpf_2019_ac2018_rendimentos_totais_faixas; irpf_gnirpf_2019_ac2018_rendimentos_totais_totais";fora do recorte da Tabela 4;a tese lista fontes ate 2013;flags nos/Pedro diferem | fora do recorte da Tabela 4 da tese de Pedro, que vai ate 2013;manter como extensao pos-tese via GNIRPF
2019;1;0;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2020;17;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Economia. Secretaria Especial da Receita Federal do Brasil. Centro de Estudos Tributarios e Aduaneiros. Grandes Numeros IRPF - ano-calendario 2019, exercicio 2020. Brasilia: Receita Federal/CETAD, setembro 2021 (revisao).;gnirpf_2020_ac2019_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2020-2019.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2020-2019.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2020-2019.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2020_ano_calendario_2019.pdf;13;9;Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais em salarios-minimos;irpf_gnirpf_2020_ac2019_rendimentos_totais_totais;"irpf_gnirpf_2020_ac2019_rendimentos_totais_faixas; irpf_gnirpf_2020_ac2019_rendimentos_totais_totais";fora do recorte da Tabela 4;a tese lista fontes ate 2013;flags nos/Pedro diferem | fora do recorte da Tabela 4 da tese de Pedro, que vai ate 2013;manter como extensao pos-tese via GNIRPF
2020;1;0;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2021;17;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Economia. Secretaria Especial da Receita Federal do Brasil. Centro de Estudos Tributarios e Aduaneiros. Grandes Numeros IRPF - ano-calendario 2020, exercicio 2021. Brasilia: Receita Federal/CETAD, setembro 2021.;gnirpf_2021_ac2020_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2021-2020.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2021-2020.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2021-2020.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2021_ano_calendario_2020.pdf;13;9;Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais em salarios-minimos;irpf_gnirpf_2021_ac2020_rendimentos_totais_totais;"irpf_gnirpf_2021_ac2020_rendimentos_totais_faixas; irpf_gnirpf_2021_ac2020_rendimentos_totais_totais";fora do recorte da Tabela 4;a tese lista fontes ate 2013;flags nos/Pedro diferem | fora do recorte da Tabela 4 da tese de Pedro, que vai ate 2013;manter como extensao pos-tese via GNIRPF
